machine_name,collected_by,timestamp,query_id,template_id,run_number,join_count,where_count,group_by_count,order_by_count,subquery_count,query_length,aggregate_count,distinct_count,condition_count,table_count,cpu_percent,memory_used_mb,disk_read_bytes,disk_write_bytes,seq_scan_count,index_scan_count,hash_join_count,nested_loop_count,merge_join_count,sort_count,aggregate_node_count,total_nodes,plan_rows,actual_rows,node_type,parallel_aware,execution_time
DESKTOP-KQF03T0,Jashvanth,2026-06-30T09:34:04.698375,Q001_V001,Q_0001,1,0,1,1,1,0,492,8,0,0,1,79.6,7067.28,83433193984,17120037888,1,0,0,0,0,1,1,3,6,6.0,Sort,0,44.717
DESKTOP-KQF03T0,Jashvanth,2026-06-30T09:34:09.799824,Q001_V001,Q_0001,2,0,1,1,1,0,492,8,0,0,1,87.5,7084.19,83435508736,17227803648,1,0,0,0,0,1,1,3,6,6.0,Sort,0,62.85
DESKTOP-KQF03T0,Jashvanth,2026-06-30T09:34:14.893473,Q001_V001,Q_0001,3,0,1,1,1,0,492,8,0,0,1,75.1,7115.8,83441166336,17268288512,1,0,0,0,0,1,1,3,6,6.0,Sort,0,75.453
DESKTOP-KQF03T0,Jashvanth,2026-06-30T09:34:19.948189,Q001_V002,Q_0002,1,0,1,1,1,0,492,8,0,0,1,77.6,7006.43,83444114432,17307032576,1,0,0,0,0,1,1,3,6,6.0,Sort,0,38.509
DESKTOP-KQF03T0,Jashvanth,2026-06-30T09:34:24.999961,Q001_V002,Q_0002,2,0,1,1,1,0,492,8,0,0,1,44.7,6988.94,83446875136,17340177408,1,0,0,0,0,1,1,3,6,6.0,Sort,0,38.579
DESKTOP-KQF03T0,Jashvanth,2026-06-30T09:34:30.048996,Q001_V002,Q_0002,3,0,1,1,1,0,492,8,0,0,1,29.7,6985.14,83447727104,17344801792,1,0,0,0,0,1,1,3,6,6.0,Sort,0,37.695
DESKTOP-KQF03T0,Jashvanth,2026-06-30T09:34:35.101940,Q001_V003,Q_0003,1,0,1,1,1,0,492,8,0,0,1,88.1,7079.78,83451520000,17347144704,1,0,0,0,0,1,1,3,6,6.0,Sort,0,41.028
DESKTOP-KQF03T0,Jashvanth,2026-06-30T09:34:40.160082,Q001_V003,Q_0003,2,0,1,1,1,0,492,8,0,0,1,66.0,7062.3,83452481536,17351183360,1,0,0,0,0,1,1,3,6,6.0,Sort,0,42.543
DESKTOP-KQF03T0,Jashvanth,2026-06-30T09:34:45.216629,Q001_V003,Q_0003,3,0,1,1,1,0,492,8,0,0,1,89.9,7065.0,83453099008,17357151232,1,0,0,0,0,1,1,3,6,6.0,Sort,0,42.072
DESKTOP-KQF03T0,Jashvanth,2026-06-30T09:34:50.281109,Q001_V004,Q_0004,1,0,1,1,1,0,492,8,0,0,1,58.1,7011.86,83453574144,17357417472,0,1,0,0,0,1,1,4,6,6.0,Sort,0,31.016
